strain,location,collection_date,ID,serum,antigenic_distance,Tree_model_log2,Subs_model_log2
B/Praha/27/2012,Czech Republic,2012-10-01,EPI377724,B/Brisbane/60/2008,1.6,0.63,0.0
B/Praha/27/2012,Czech Republic,2012-10-01,EPI377724,B/Brisbane/60/2008,1.6,0.63,0.0
B/Malta/MV636714/2011,Malta,2011-03-07,EPI346734,B/Brisbane/60/2008,1.6,0.6,0.0
B/Malta/MV636714/2011,Malta,2011-03-07,EPI346734,B/Brisbane/60/2008,1.6,0.6,0.0
B/HongKong/762/2011,Hong Kong,2011-06-22,EPI334692,B/Brisbane/60/2008,1.6,0.6,0.0
B/Malta/MV636714/2011,Malta,2011-03-07,EPI346734,B/Brisbane/60/2008,1.6,0.6,0.0
B/Malmoe/2/2011,Sweden,2011-05-04,EPI326189,B/Brisbane/60/2008,1.6,0.6,0.0
B/HongKong/767/2011,Hong Kong,2011-06-27,EPI334700,B/Brisbane/60/2008,1.6,0.6,0.0
B/HongKong/767/2011,Hong Kong,2011-06-27,EPI334700,B/Brisbane/60/2008,1.6,0.6,0.0
B/Latvia/3-39620p/2011,Latvia,2011-03-16,EPI319371,B/Brisbane/60/2008,1.6,0.6,0.0
B/Latvia/3-39620p/2011,Latvia,2011-03-16,EPI319371,B/Brisbane/60/2008,1.6,0.6,0.0
B/Ireland/21653/2011,Ireland,2011-03-14,EPI326155,B/Brisbane/60/2008,1.6,0.6,0.0
B/Slovenia/955/2012,Slovenia,2012-03-26,EPI377682,B/Brisbane/60/2008,1.6,0.6,0.0
B/Maevatanana/5151/2012,Madagascar,2012-11-05,EPI438765,B/Brisbane/60/2008,2.2,1.17,0.29
B/Madagascar/01593/2012,Madagascar,2012-02-27,EPI392604,B/Brisbane/60/2008,2.2,1.17,0.29
B/Madagascar/01593/2012,Madagascar,2012-02-27,EPI392604,B/Brisbane/60/2008,2.2,1.17,0.29
B/Antsirabe/4171/2012,Madagascar,2012-07-31,EPI445917,B/Brisbane/60/2008,2.2,1.17,0.29
B/Antsirabe/4171/2012,Madagascar,2012-07-31,EPI445917,B/Brisbane/60/2008,2.2,1.17,0.29
B/Antsirabe/4171/2012,Madagascar,2012-07-31,EPI445917,B/Brisbane/60/2008,2.2,1.17,0.29
B/Antsirabe/4171/2012,Madagascar,2012-07-31,EPI445917,B/Brisbane/60/2008,2.2,1.17,0.29
B/Madagascar/01732/2012,Madagascar,2012-03-07,EPI392608,B/Brisbane/60/2008,2.1,1.07,0.0
B/Madagascar/01732/2012,Madagascar,2012-03-07,EPI392608,B/Brisbane/60/2008,2.1,1.07,0.0
B/Madagascar/01732/2012,Madagascar,2012-03-07,EPI392608,B/Brisbane/60/2008,2.1,1.07,0.0
B/Madagascar/01732/2012,Madagascar,2012-03-07,EPI392608,B/Brisbane/60/2008,2.1,1.07,0.0
B/Malta/MV642476/2011,Malta,2011-04-02,EPI319388,B/Brisbane/60/2008,1.6,0.6,0.0
