,combination,extinction_size
436,BY_y_cv0.10_cy13.50,467.0380127925395
437,BY_y_cv0.10_cy13.60,458.3604272793846
438,BY_y_cv0.10_cy13.70,450.0158476368136
439,BY_y_cv0.10_cy13.80,442.02168984618424
440,BY_y_cv0.10_cy13.90,433.93163924818384
441,BY_y_cv0.10_cy14.00,425.9758645389134
442,BY_y_cv0.10_cy14.10,418.23315508040434
443,BY_y_cv0.10_cy14.20,410.80150790654295
444,BY_y_cv0.10_cy14.30,403.46921579761965
445,BY_y_cv0.10_cy14.40,396.1322465324131
446,BY_y_cv0.10_cy14.50,388.9181212621604
447,BY_y_cv0.10_cy14.60,382.05939110639235
448,BY_y_cv0.10_cy14.70,375.0828991954546
449,BY_y_cv0.10_cy14.80,368.3998829558764
450,BY_y_cv0.10_cy14.90,361.8145746507801
451,BY_y_cv0.10_cy15.00,355.2872911379702
452,BY_y_cv0.10_cy15.10,349.0651155612257
453,BY_y_cv0.10_cy15.20,342.71768299423235
454,BY_y_cv0.10_cy15.30,336.40668728945786
455,BY_y_cv0.10_cy15.40,330.45694510846783
456,BY_y_cv0.10_cy15.50,324.4911241420352
457,BY_y_cv0.10_cy15.60,318.4674296680246
458,BY_y_cv0.10_cy15.70,312.7230016404262
459,BY_y_cv0.10_cy15.80,307.1200233149781
460,BY_y_cv0.10_cy15.90,301.6490024007784
461,BY_y_cv0.10_cy16.00,296.02410010880874
462,BY_y_cv0.10_cy16.10,290.5051458320424
463,BY_y_cv0.10_cy16.20,285.3289264596113
464,BY_y_cv0.10_cy16.30,279.9240028921186
465,BY_y_cv0.10_cy16.40,274.6795753214838
466,BY_y_cv0.10_cy16.50,269.61009969508046
467,BY_y_cv0.10_cy16.60,264.6027089080883
468,BY_y_cv0.10_cy16.70,259.4972971074771
469,BY_y_cv0.10_cy16.80,254.7506336787623
470,BY_y_cv0.10_cy16.90,249.75527015738828
471,BY_y_cv0.10_cy17.00,245.03179152925952
472,BY_y_cv0.10_cy17.10,240.40761772879472
473,BY_y_cv0.10_cy17.20,235.7041201411454
474,BY_y_cv0.10_cy17.30,231.0591581283012
475,BY_y_cv0.10_cy17.40,226.7259564250262
476,BY_y_cv0.10_cy17.50,222.11731984971902
477,BY_y_cv0.10_cy17.60,217.6938760188481
478,BY_y_cv0.10_cy17.70,213.38758134517084
479,BY_y_cv0.10_cy17.80,209.04512466663257
480,BY_y_cv0.10_cy17.90,204.79261487119712
481,BY_y_cv0.10_cy18.00,200.63275989370325
482,BY_y_cv0.10_cy18.10,196.4803934858772
483,BY_y_cv0.10_cy18.20,192.39903880072688
484,BY_y_cv0.10_cy18.30,188.3637391466995
485,BY_y_cv0.10_cy18.40,184.38745413599554
486,BY_y_cv0.10_cy18.50,180.47032706919688
487,BY_y_cv0.10_cy18.60,176.70489412150678
488,BY_y_cv0.10_cy18.70,172.77270398583588
489,BY_y_cv0.10_cy18.80,168.9309861783002
490,BY_y_cv0.10_cy18.90,165.41837855668072
491,BY_y_cv0.10_cy19.00,161.6950253109857
492,BY_y_cv0.10_cy19.10,157.97025112593946
