,combination,extinction_size,wv,wy
243,BY_y_cv0.03_cy0.30,87.06326109918355,0.03,0.3
244,BY_y_cv0.03_cy0.31,89.24796754528381,0.03,0.31
245,BY_y_cv0.03_cy0.32,91.5931811098617,0.03,0.32
246,BY_y_cv0.03_cy0.33,94.10273147019728,0.03,0.33
247,BY_y_cv0.03_cy0.34,96.80140006854307,0.03,0.34
248,BY_y_cv0.03_cy0.35,99.71053327381198,0.03,0.35
249,BY_y_cv0.03_cy0.36,102.836471822917,0.03,0.36
250,BY_y_cv0.03_cy0.37,106.22540483672348,0.03,0.37
251,BY_y_cv0.03_cy0.38,109.9195802375962,0.03,0.38
252,BY_y_cv0.03_cy0.39,113.93197858431742,0.03,0.39
253,BY_y_cv0.03_cy0.40,118.29695503265889,0.03,0.4
254,BY_y_cv0.03_cy0.41,123.06564876234698,0.03,0.41
255,BY_y_cv0.03_cy0.42,128.25751072183377,0.03,0.42
256,BY_y_cv0.03_cy0.43,134.01349594550723,0.03,0.43
257,BY_y_cv0.03_cy0.44,140.34632064802358,0.03,0.44
258,BY_y_cv0.03_cy0.45,147.32205390781527,0.03,0.45
259,BY_y_cv0.03_cy0.46,155.06221594685653,0.03,0.46
260,BY_y_cv0.03_cy0.47,163.7224308837362,0.03,0.47
261,BY_y_cv0.03_cy0.48,173.27342050215353,0.03,0.48
262,BY_y_cv0.03_cy0.49,183.98360610353868,0.03,0.49
263,BY_y_cv0.03_cy0.50,196.02816228453509,0.03,0.5
264,BY_y_cv0.03_cy0.51,209.4835813247713,0.03,0.51
265,BY_y_cv0.03_cy0.52,224.6490822035008,0.03,0.52
266,BY_y_cv0.03_cy0.53,241.74035253681268,0.03,0.53
267,BY_y_cv0.03_cy0.54,261.1589155371905,0.03,0.54
268,BY_y_cv0.03_cy0.55,283.0628467860949,0.03,0.55
269,BY_y_cv0.03_cy0.56,308.0525896516674,0.03,0.56
270,BY_y_cv0.03_cy0.57,336.3792972751531,0.03,0.57
